AudioFile,Time,Speaker,Content,Processed,Phonemes
audio_00001,1.5,APP,"Air seoul 966, speed 200 or greater until PUDUB",Air seoul Niner Six Six speed Two Zero Zero or greater until $PUDUB$,EH R S OW L N AY N ER S IH K S S IH K S S P IY D T UW Z IH R OW Z IH R OW AO R G R EY T ER AH N T IH L P AH D UW B
audio_00002,6.3,ASV966,"Speed 200 or greater until PUDUB, Air Seoul 966",Speed Two Zero Zero or greater until $PUDUB$ Air Seoul Niner Six Six,S P IY D T UW Z IH R OW Z IH R OW AO R G R EY T ER AH N T IH L P AH D UW B EH R S OW L N AY N ER S IH K S S IH K S
audio_00003,11.1,APP,"Asiana 8948, report established RWY32R",Asiana Eight Niner Four Eight report established Runway Three Two Right,AA S IY AA N AH EY T N AY N ER F AO R EY T R IY P AO R T IH S T AE B L IH SH T R AH N W EY TH R IY T UW R AY T
audio_00004,15.1,AAR8948,"Established 32R now, Asiana 8948",Established Three Two Right now Asiana Eight Niner Four Eight,IH S T AE B L IH SH T TH R IY T UW R AY T N AW AA S IY AA N AH EY T N AY N ER F AO R EY T
audio_00005,18.3,APP,"Asiana 8948, contact Tower 118.1",Asiana Eight Niner Four Eight contact Tower One One Eight Decimal One,AA S IY AA N AH EY T N AY N ER F AO R EY T K AA N T AE K T T AW ER W AH N W AH N EY T D EH S AH M AH L W AH N
audio_00006,22.0,AAR8948,"1 Eighteen 1, Asiana 8948",One Eighteen One Asiana Eight Niner Four Eight,W AH N EY T IY N W AH N AA S IY AA N AH EY T N AY N ER F AO R EY T
audio_00007,24.4,APP,"Stand by, Asiana 8948, reduce minimum approach speed",Stand by Asiana Eight Niner Four Eight reduce minimum approach speed,S T AE N D B AY AA S IY AA N AH EY T N AY N ER F AO R EY T R AH D UW S M IH N AH M AH M AH P R OW CH S P IY D
audio_00008,27.5,AAR8948,"Minimum speed, Asiana 8948",Minimum speed Asiana Eight Niner Four Eight,M IH N AH M AH M S P IY D AA S IY AA N AH EY T N AY N ER F AO R EY T
audio_00009,33.7,APP,"Asiana 8948, contact Tower 118.1",Asiana Eight Niner Four Eight contact Tower One One Eight Decimal One,AA S IY AA N AH EY T N AY N ER F AO R EY T K AA N T AE K T T AW ER W AH N W AH N EY T D EH S AH M AH L W AH N
audio_00010,36.9,AAR8948,"1 Eighteen 1, good day",One Eighteen One good day,W AH N EY T IY N W AH N G UH D D EY
audio_00011,41.2,KAL627,request direct BOPTA,request direct $BOPTA$,R IH K W EH S T D ER EH K T B AA P T AH
audio_00012,44.1,DEP,Korean Air 64 627 direct BOPTA approved,Korean Air Six Four Six Two Seven direct $BOPTA$ approved,K AO R IY AH N EH R S IH K S F AO R S IH K S T UW S EH V AH N D ER EH K T B AA P T AH AH P R UW V D
audio_00013,46.9,KAL627,"Direct BOPTA approved, Korean Air 627, thank you",Direct $BOPTA$ approved Korean Air Six Two Seven thank you,D ER EH K T B AA P T AH AH P R UW V D K AO R IY AH N EH R S IH K S T UW S EH V AH N TH AE NG K Y UW
audio_00014,52.7,APP,"Korean Air 1242, descend to 8000', QNH1005",Korean Air One Two Four Two descend to Eight Thousand Q N H One Zero Zero Five,K AO R IY AH N EH R W AH N T UW F AO R T UW D IH S EH N D T UW EY T TH AW Z AH N D K Y UW EH N EY CH W AH N Z IH R OW Z IH R OW F AY V
audio_00015,56.4,KAL1242,"Descend to 8000', QNH1005, Korean Air 1242",Descend to Eight Thousand Q N H One Zero Zero Five Korean Air One Two Four Two,D IH S EH N D T UW EY T TH AW Z AH N D K Y UW EH N EY CH W AH N Z IH R OW Z IH R OW F AY V K AO R IY AH N EH R W AH N T UW F AO R T UW
audio_00016,61.6,DEP,"5 Departure, radar contact, climb to FL200, cancel level restriction",Five Departure radar contact climb to Flight Level Two Zero Zero cancel level restriction,F AY V D IH P AA R CH ER R EY D AA R K AA N T AE K T K L AY M T UW F L AY T L EH V AH L T UW Z IH R OW Z IH R OW K AE N S AH L L EH V AH L R IY S T R IH K SH AH N
audio_00017,66.9,JNA375,"Climb to FL200, cancel level restriction, Jin Air 375",Climb to Flight Level Two Zero Zero cancel level restriction Jin Air Three Seven Five,K L AY M T UW F L AY T L EH V AH L T UW Z IH R OW Z IH R OW K AE N S AH L L EH V AH L R IY S T R IH K SH AH N JH IH N EH R TH R IY S EH V AH N F AY V
audio_00018,74.6,DEP,"Jin Alr 357, direct OSPOT",Jin Alr Three Five Seven direct $OSPOT$,JH IH N AA L ER TH R IY F AY V S EH V AH N D ER EH K T AO S P AA T
audio_00019,78.1,JNA357,"Direct OSPOT, Jin Air 357",Direct $OSPOT$ Jin Air Three Five Seven,D ER EH K T AO S P AA T JH IH N EH R TH R IY F AY V S EH V AH N
audio_00020,82.6,AAL9700,"Departure, American 9700, passing 1000', climbing BOPTA 1A",Departure American Niner Seven Zero Zero passing One Thousand climbing $BOPTA$ One Alpha,D IH P AA R CH ER AH M EH R AH K AH N N AY N ER S EH V AH N Z IH R OW Z IH R OW P AE S IH NG W AH N TH AW Z AH N D K L AY M IH NG B AA P T AH W AH N AE L F AH
audio_00021,87.8,DEP,"American 9700, Departure, radar contact, climb to FL260",American Niner Seven Zero Zero Departure radar contact climb to Flight Level Two Six Zero,AH M EH R AH K AH N N AY N ER S EH V AH N Z IH R OW Z IH R OW D IH P AA R CH ER R EY D AA R K AA N T AE K T K L AY M T UW F L AY T L EH V AH L T UW S IH K S Z IH R OW
audio_00022,93.4,AAL9700,"Climb to FL260, American 9700",Climb to Flight Level Two Six Zero American Niner Seven Zero Zero,K L AY M T UW F L AY T L EH V AH L T UW S IH K S Z IH R OW AH M EH R AH K AH N N AY N ER S EH V AH N Z IH R OW Z IH R OW
audio_00023,97.2,DEP,"Asiana 8961, contact control, 126.17, good day",Asiana Eight Niner Six One contact control One Two Six Decimal One Seven good day,AA S IY AA N AH EY T N AY N ER S IH K S W AH N K AA N T AE K T K AH N T R OW L W AH N T UW S IH K S D EH S AH M AH L W AH N S EH V AH N G UH D D EY
audio_00024,104.0,AAR8961,"126.17, Asiana 8961",One Two Six Decimal One Seven Asiana Eight Niner Six One,W AH N T UW S IH K S D EH S AH M AH L W AH N S EH V AH N AA S IY AA N AH EY T N AY N ER S IH K S W AH N
audio_00025,108.7,APP,"Korean Air 1242, cleared ILS RWY32R Approach",Korean Air One Two Four Two cleared I L S Runway Three Two Right Approach,K AO R IY AH N EH R W AH N T UW F AO R T UW K L IH R D AY EH L EH S R AH N W EY TH R IY T UW R AY T AH P R OW CH
audio_00026,111.9,KAL1242,"Cleared ILS 32R Approach, Korean Air 1242",Cleared I L S Three Two Right Approach Korean Air One Two Four Two,K L IH R D AY EH L EH S TH R IY T UW R AY T AH P R OW CH K AO R IY AH N EH R W AH N T UW F AO R T UW
audio_00027,117.0,DEP,"Air Busan 8097, Departure, radar contact, climb to FL200, cancel level restriction",Air Busan Eight Zero Niner Seven Departure radar contact climb to Flight Level Two Zero Zero cancel level restriction,EH R B AH S AH N EY T Z IH R OW N AY N ER S EH V AH N D IH P AA R CH ER R EY D AA R K AA N T AE K T K L AY M T UW F L AY T L EH V AH L T UW Z IH R OW Z IH R OW K AE N S AH L L EH V AH L R IY S T R IH K SH AH N
audio_00028,122.5,ABL8097,"Climb to FL200, cancel level restriction, Air Busan 8097",Climb to Flight Level Two Zero Zero cancel level restriction Air Busan Eight Zero Niner Seven,K L AY M T UW F L AY T L EH V AH L T UW Z IH R OW Z IH R OW K AE N S AH L L EH V AH L R IY S T R IH K SH AH N EH R B AH S AH N EY T Z IH R OW N AY N ER S EH V AH N
audio_00029,129.0,APP,"Air Seoul 966, confirm established RWY32R",Air Seoul Niner Six Six confirm established Runway Three Two Right,EH R S OW L N AY N ER S IH K S S IH K S K AH N F ER M IH S T AE B L IH SH T R AH N W EY TH R IY T UW R AY T
audio_00030,132.3,ASV966,Affirmative,Affirmative,AH F ER M AH T IH V
audio_00031,133.5,APP,"Air Seoul 966, contact Tower 118.1",Air Seoul Niner Six Six contact Tower One One Eight Decimal One,EH R S OW L N AY N ER S IH K S S IH K S K AA N T AE K T T AW ER W AH N W AH N EY T D EH S AH M AH L W AH N
audio_00034,142.9,DEP,"Korean Air 1247, contact control 126.17, good day",Korean Air One Two Four Seven contact control One Two Six Decimal One Seven good day,K AO R IY AH N EH R W AH N T UW F AO R S EH V AH N K AA N T AE K T K AH N T R OW L W AH N T UW S IH K S D EH S AH M AH L W AH N S EH V AH N G UH D D EY
audio_00035,147.9,KAL1247,"Contact control 126.17, Korean Air 1247",Contact control One Two Six Decimal One Seven Korean Air One Two Four Seven,K AA N T AE K T K AH N T R OW L W AH N T UW S IH K S D EH S AH M AH L W AH N S EH V AH N K AO R IY AH N EH R W AH N T UW F AO R S EH V AH N
audio_00036,153.7,APP,"32R, continue approach",Three Two Right continue approach,TH R IY T UW R AY T K AH N T IH N Y UW AH P R OW CH
audio_00037,155.5,JJA305,"32R, continue approach, Jeju Air 305",Three Two Right continue approach Jeju Air Three Zero Five,TH R IY T UW R AY T K AH N T IH N Y UW AH P R OW CH JH EY JH UW EH R TH R IY Z IH R OW F AY V
audio_00038,160.5,APP,"Jeju Air 305, contact Tower 118.1",Jeju Air Three Zero Five contact Tower One One Eight Decimal One,JH EY JH UW EH R TH R IY Z IH R OW F AY V K AA N T AE K T T AW ER W AH N W AH N EY T D EH S AH M AH L W AH N
audio_00041,169.3,KAL9055,"Level 230, EGOBA 1E",Level Two Three Zero $EGOBA$ One Echo,L EH V AH L T UW TH R IY Z IH R OW IH G OW B AH W AH N EH K OW
audio_00042,171.8,DEP,"Korean Air 9055, Departure, radar contact, climb and maintain 5000' 5 Hundred",Korean Air Niner Zero Five Five Departure radar contact climb and maintain Five Thousand Five Hundred,K AO R IY AH N EH R N AY N ER Z IH R OW F AY V F AY V D IH P AA R CH ER R EY D AA R K AA N T AE K T K L AY M AH N D M EY N T EY N F AY V TH AW Z AH N D F AY V HH AH N D R AH D
audio_00043,177.2,KAL9055,"Climb and maintain 5000' 5 Hundred, Korean Air 9055",Climb and maintain Five Thousand Five Hundred Korean Air Niner Zero Five Five,K L AY M AH N D M EY N T EY N F AY V TH AW Z AH N D F AY V HH AH N D R AH D K AO R IY AH N EH R N AY N ER Z IH R OW F AY V F AY V
audio_00044,183.2,SOO8027,"direct ENPIL, descend to 7000', Southern Air 8027 Heavy",direct $ENPIL$ descend to Seven Thousand Southern Air Eight Zero Two Seven Heavy,D ER EH K T EH N P IY L D IH S EH N D T UW S EH V AH N TH AW Z AH N D S AH DH ER N EH R EY T Z IH R OW T UW S EH V AH N HH EH V IY
audio_00045,188.1,JNA358,"Seoul Approach, Jin Air 358",Seoul Approach Jin Air Three Five Eight,S OW L AH P R OW CH JH IH N EH R TH R IY F AY V EY T
audio_00046,190.4,DEP,"Jin Air 358, Seoul Approach, GUKDO then BUMSI, expect RWY32R",Jin Air Three Five Eight Seoul Approach $GUKDO$ then $BUMSI$ expect Runway Three Two Right,JH IH N EH R TH R IY F AY V EY T S OW L AH P R OW CH G UW D K OW DH EH N B AH M S IY IH K S P EH K T R AH N W EY TH R IY T UW R AY T
audio_00047,195.9,JNA358,"GUKDO then BUMSI, expect RWY32R, Jin Air 358",$GUKDO$ then $BUMSI$ expect Runway Three Two Right Jin Air Three Five Eight,G UW D K OW DH EH N B AH M S IY IH K S P EH K T R AH N W EY TH R IY T UW R AY T JH IH N EH R TH R IY F AY V EY T
audio_00048,201.7,DEP,"Jin Air 357, contact control 125.37, good day",Jin Air Three Five Seven contact control One Two Five Decimal Three Seven good day,JH IH N EH R TH R IY F AY V S EH V AH N K AA N T AE K T K AH N T R OW L W AH N T UW F AY V D EH S AH M AH L TH R IY S EH V AH N G UH D D EY
audio_00049,207.3,JNA357,"125.37, Jin Air 357, good day",One Two Five Decimal Three Seven Jin Air Three Five Seven good day,W AH N T UW F AY V D EH S AH M AH L TH R IY S EH V AH N JH IH N EH R TH R IY F AY V S EH V AH N G UH D D EY
audio_00050,212.4,APP,Zero Zero Five,Zero Zero Five,Z IH R OW Z IH R OW F AY V
audio_00051,215.9,SOO8027,"Cleared ILS 33R Approach, QNH1005, Southern Air 8027 Heavy",Cleared I L S Three Three Right Approach Q N H One Zero Zero Five Southern Air Eight Zero Two Seven Heavy,K L IH R D AY EH L EH S TH R IY TH R IY R AY T AH P R OW CH K Y UW EH N EY CH W AH N Z IH R OW Z IH R OW F AY V S AH DH ER N EH R EY T Z IH R OW T UW S EH V AH N HH EH V IY
audio_00052,225.1,KAL627,"126.17, Korean Air 627, good day",One Two Six Decimal One Seven Korean Air Six Two Seven good day,W AH N T UW S IH K S D EH S AH M AH L W AH N S EH V AH N K AO R IY AH N EH R S IH K S T UW S EH V AH N G UH D D EY
audio_00053,230.1,DEP,"Jin Air 375, contact control 126.17, good day",Jin Air Three Seven Five contact control One Two Six Decimal One Seven good day,JH IH N EH R TH R IY S EH V AH N F AY V K AA N T AE K T K AH N T R OW L W AH N T UW S IH K S D EH S AH M AH L W AH N S EH V AH N G UH D D EY
audio_00054,235.2,JNA375,"126.17, Jin Air 375",One Two Six Decimal One Seven Jin Air Three Seven Five,W AH N T UW S IH K S D EH S AH M AH L W AH N S EH V AH N JH IH N EH R TH R IY S EH V AH N F AY V
audio_00055,241.3,APP,"Jin Air 358, descend to 8000', cleared ILS RWY32R approach, QNH1005",Jin Air Three Five Eight descend to Eight Thousand cleared I L S Runway Three Two Right approach Q N H One Zero Zero Five,JH IH N EH R TH R IY F AY V EY T D IH S EH N D T UW EY T TH AW Z AH N D K L IH R D AY EH L EH S R AH N W EY TH R IY T UW R AY T AH P R OW CH K Y UW EH N EY CH W AH N Z IH R OW Z IH R OW F AY V
audio_00056,253.0,KAL9055,Korean Air 9055,Korean Air Niner Zero Five Five,K AO R IY AH N EH R N AY N ER Z IH R OW F AY V F AY V
audio_00057,256.3,AAR8963,"Seoul Departure, Asiana 8963, BULTI 1T, climbing to 6000'",Seoul Departure Asiana Eight Niner Six Three $BULTI$ One Tango climbing to Six Thousand,S OW L D IH P AA R CH ER AA S IY AA N AH EY T N AY N ER S IH K S TH R IY B AH L T IY W AH N T AE NG G OW K L AY M IH NG T UW S IH K S TH AW Z AH N D
audio_00058,260.4,DEP,"Asiana 8963, Departure, radar contact, maintain 5000' due to traffic",Asiana Eight Niner Six Three Departure radar contact maintain Five Thousand due to traffic,AA S IY AA N AH EY T N AY N ER S IH K S TH R IY D IH P AA R CH ER R EY D AA R K AA N T AE K T M EY N T EY N F AY V TH AW Z AH N D D UW T UW T R AE F IH K
audio_00059,264.6,AAR8963,"Maintain 5000', Asiana 8963",Maintain Five Thousand Asiana Eight Niner Six Three,M EY N T EY N F AY V TH AW Z AH N D AA S IY AA N AH EY T N AY N ER S IH K S TH R IY
audio_00060,268.4,KAL9055,"Departure, Korean Air 9055, request speed 270 due to performance",Departure Korean Air Niner Zero Five Five request speed Two Seven Zero due to performance,D IH P AA R CH ER K AO R IY AH N EH R N AY N ER Z IH R OW F AY V F AY V R IH K W EH S T S P IY D T UW S EH V AH N Z IH R OW D UW T UW P ER F AO R M AH N S
audio_00061,273.3,DEP,"Roger, approved",Roger approved,R AA JH ER AH P R UW V D
audio_00062,274.6,KAL9055,"Speed 270 approved, Korean Air 9055",Speed Two Seven Zero approved Korean Air Niner Zero Five Five,S P IY D T UW S EH V AH N Z IH R OW AH P R UW V D K AO R IY AH N EH R N AY N ER Z IH R OW F AY V F AY V
